entity1,entity2,pertinence,dot,relation
1,2,283,0,0
1,1,0,0,0
1,3,298,0,1
2,1,276,0,0
2,3,561,0,0
1,3,291,0,1
3,1,867,1,0
3,1,439,1,0
3,3,1071,1,0
3,2,813,1,0
1,1,606,0,0
1,3,689,0,0
1,2,431,0,0
1,3,810,0,0
1,2,552,0,0
3,2,561,0,0
4,5,612,0,1
4,6,340,0,1
5,6,650,0,0
5,7,860,0,0
5,8,600,0,0
5,4,1276,1,0
5,3,1074,1,0
5,3,1276,1,0
5,7,785,0,0
5,7,620,0,1
5,5,747,0,0
5,1,708,1,0
5,3,1105,1,0
7,8,913,0,0
7,4,904,1,0
7,3,702,1,0
7,3,904,1,0
7,7,563,0,1
7,7,728,0,0
7,5,662,0,0
7,1,336,1,0
7,3,733,1,0
8,4,1329,1,0
8,3,1127,1,0
8,3,1329,1,0
8,7,838,0,0
8,7,673,0,1
8,5,800,0,0
8,1,761,1,0
8,3,1158,1,0
4,3,752,1,0
4,3,550,0,0
4,7,979,1,0
4,7,1144,1,0
4,5,1078,1,0
4,1,875,1,0
4,3,721,1,0
3,3,752,1,0
3,7,777,1,0
3,7,942,1,0
3,5,876,1,0
3,1,673,0,0
3,3,581,1,0
3,7,979,1,0
3,7,1144,1,0
3,5,1078,1,0
3,1,875,1,0
3,3,721,1,0
7,7,653,0,0
7,5,587,0,0
7,1,411,1,0
7,3,808,1,0
7,5,615,0,1
7,1,576,1,0
7,3,973,1,0
5,1,510,1,0
5,3,907,1,0
1,3,704,1,0
7,5,582,0,0
7,3,897,1,0
7,3,1300,1,0
7,9,707,1,0
7,3,640,0,0
7,7,879,1,0
7,1,775,1,0
7,1,433,0,0
7,3,1035,1,0
7,3,1194,1,0
7,1,1064,1,0
7,5,871,1,0
5,3,862,1,0
5,3,1265,1,0
5,9,672,1,0
5,3,605,0,0
5,7,911,1,0
5,1,740,1,0
5,1,398,0,0
5,3,1067,1,0
5,3,1159,1,0
5,1,1096,1,0
5,5,903,1,0
3,3,953,1,0
3,9,360,0,0
3,3,807,1,0
3,7,1226,1,0
3,1,428,0,0
3,1,771,1,0
3,3,1382,1,0
3,3,847,0,0
3,1,1411,1,0
3,5,1218,1,0
3,9,597,1,0
3,3,1210,1,0
3,7,1629,1,0
3,1,831,1,0
3,1,1174,1,0
3,3,1785,1,0
3,3,656,1,0
3,1,1814,1,0
3,5,1621,1,0
9,3,617,1,0
9,7,1036,1,0
9,1,72,0,1
9,1,581,1,0
9,3,1192,1,0
9,3,491,0,1
9,1,1221,1,0
9,5,1028,1,0
3,7,969,1,0
3,1,685,1,0
3,1,343,0,0
3,3,1125,1,0
3,3,1104,1,0
3,1,1154,1,0
3,5,961,1,0
7,1,1104,1,0
7,1,762,1,0
7,3,644,0,0
7,3,1523,1,0
7,1,673,0,0
7,5,555,0,1
1,1,649,1,0
1,3,1260,1,0
1,3,725,0,0
1,1,1289,1,0
1,5,1096,1,0
1,3,918,1,0
1,3,1068,1,0
1,1,947,1,0
1,5,754,1,0
3,3,1679,1,0
3,1,579,0,1
3,5,711,0,0
3,1,1708,1,0
3,5,1515,1,0
1,5,740,0,0
3,2,668,0,0
7,2,337,0,0
7,5,365,1,0
7,5,416,1,0
2,5,574,1,0
2,5,625,1,0
5,5,601,0,0
5,3,858,1,0
5,1,425,1,0
5,6,326,0,0
5,5,813,1,0
5,4,326,0,0
3,1,677,0,0
3,6,812,1,0
3,5,595,0,0
3,4,839,1,0
1,6,379,1,0
1,5,632,0,0
1,4,406,1,0
6,5,767,1,0
6,4,307,0,1
5,4,794,1,0
9,10,778,0,0
9,5,710,1,0
9,7,1045,1,0
9,4,552,0,1
9,5,651,1,0
9,11,780,0,0
9,10,553,0,1
9,5,955,1,0
9,9,652,0,0
10,5,972,1,0
10,7,1307,1,0
10,4,814,0,0
10,5,913,1,0
10,11,550,0,1
10,10,815,0,0
10,5,1217,1,0
10,9,676,0,1
5,7,577,0,1
5,4,707,1,0
5,5,366,0,0
5,11,974,1,0
5,10,707,1,0
5,5,301,0,0
5,9,846,1,0
7,4,1042,1,0
7,5,701,0,1
7,11,1309,1,0
7,10,1042,1,0
7,5,636,0,1
7,9,1181,1,0
4,5,648,1,0
4,11,816,0,0
4,10,550,0,0
4,5,952,1,0
4,9,688,0,0
5,11,915,1,0
5,10,648,1,0
5,5,611,0,0
5,9,787,1,0
11,10,817,0,0
11,5,1219,1,0
11,9,678,0,1
10,5,952,1,0
10,9,689,0,0
5,9,1091,1,0
4,2,906,1,0
4,4,622,1,0
4,3,796,1,0
4,3,569,1,0
4,3,824,1,0
4,4,870,1,0
4,4,584,0,0
4,5,1160,1,0
4,1,515,0,0
4,4,623,1,0
4,6,567,0,1
2,4,833,0,0
2,3,1154,1,0
2,3,927,1,0
2,3,1182,1,0
2,4,586,0,0
2,4,865,1,0
2,5,1518,1,0
2,1,873,1,0
2,4,830,0,0
